"TOTAL_REVENUE","INSTR_TOTAL_EXP_RATIO","MEDIAN_INCOME","ALL_STUDENT_TEACHER_RATIO","avg_att_rate","povrate","wic_total","health_rank","pop_govhealthins","anti_education","party_state","policy_mood","innovatescore","pollib_median","AVG_ALL_SCORES","grad_rate"
18.29883846,0.959501546256643,11.27507461,20.82196761,96.0715,15.3,1439006,23,11170.8,0.036362801,0.136795446,49.74200058,0,2.31192,241.6952918,76.4
18.20943798,0.960791245233222,11.1292101,24.11589751,99.0523,16.9,1466564,22,11633.2,0.065608602,0.179824561,46.7420001,0.002907,2.4507,244.8946711,79
18.14483639,0.960758684897813,11.1338373,23.65947888,99.0523,14.9,1431881,21,11937.11456,0.058161388,0.166128791,46.7420001,0.002907,2.52428,245.6375176,81
18.25512933,0.961709217812791,11.19884718,23.58055286,99.0523,17,1265005,21,12474.75089,0.056166761,0.179749271,46.7420001,0.002907,2.364040758,244.5800336,83
15.98851673,0.953481921526731,11.46527663,16.56047224,88.8599,9.7,81196,8,967.209,0.061953145,-0.0433213,40.00299835,0.111704,-0.445471,252.1206294,78.7
16.0223597,0.952241261832518,11.35637913,16.95950404,91.3635,11.4,84013,14,949.237,0.058023706,-0.080188677,47.28900146,0.219398,-0.420429,252.4803889,75.5
16.06880029,0.953207031545177,11.42839389,16.90388095,91.7296,9.8,91062,9,994.185,0.060067985,-0.03560831,48.11299896,0.10241,-0.184411,250.5170452,75.4
16.11286958,0.953684796544562,11.27142375,16.80857225,91.5689,12.3,107930,8,1290.59,0.052916923,0.048780486,44.73699951,0.005814,-0.092141,253.9128537,76.6
16.11618026,0.955024878836505,11.22325129,17.37255987,91.04231429,13.2,104131,14,1345.39,0.071421044,0.125,44.39437532,0.1098315,0.028289,254.9451547,75
16.09043752,0.95606702081627,11.2305764,17.65186842,91.04231429,10.6,96874,11,1500.070533,0.073155203,0.085389049,44.39437532,0.1098315,0.124588,256.3213046,77.3
16.16202695,0.954442098426569,11.2443079,17.29985862,91.04231429,12.7,90954,11,1629.235267,0.077243097,0.118576373,44.39437532,0.1098315,0.247392924,252.528208,78.9
16.08856879,0.962904119127657,11.56114661,13.47699546,97.2847,8.1,51721,7,884.794,0.06420705,0.062176164,43.73400116,0.104732,1.75007,255.2024757,80.7
16.15604465,0.964051410873587,11.4755794,14.87811791,97.1071,9.3,52059,5,844.266,0.061124439,0.0661157,39.7140007,0.141753,1.86562,250.2302741,80.9
16.21653533,0.960885214071355,11.47629322,14.70279944,96.9891,8.9,53205,3,899.421,0.058479659,0.108000003,44.04399872,0.09141,1.75901,252.8076355,82.2
16.26552187,0.962272712981612,11.41942484,11.70373274,97.3082,8.4,60148,7,867.97,0.050226518,0.241706163,45.08200073,0.003937,1.85953,254.9734121,83.7
16.22807899,0.965096330027221,11.3327738,13.05070686,97.01352857,10.1,56081,4,988.307,0.070793253,0.086419754,42.91475058,0.085458,2.11293,253.9953984,85
16.24665911,0.965277918371064,11.29785881,12.54125473,97.01352857,11.3,54248,5,972.9590333,0.070321559,0.182834692,42.91475058,0.085458,2.15514,254.9420812,87
16.30217595,0.965378314872779,11.33460189,12.90187756,97.01352857,10.4,51295,5,994.0539333,0.073261358,0.200116489,42.91475058,0.085458,2.267167273,255.2842287,87.4
14.36547894,0.953534337313888,11.44665488,15.11327618,92.4219,7.3,17839,36,205.456,0.057701621,0,71.28399658,0.111925,0.759544,247.5297996,72.9
