PRIMARY_KEY,STATE,YEAR,Inflation_pegged_2019,ALTERNATIVE_KEY,ENROLL,TOTAL_REVENUE,FEDERAL_REVENUE,STATE_REVENUE,LOCAL_REVENUE,TOTAL_EXPENDITURE,INSTRUCTION_EXPENDITURE,SUPPORT_SERVICES_EXPENDITURE,OTHER_EXPENDITURE,CAPITAL_OUTLAY_EXPENDITURE,MEDIAN_INCOME,GRADES_ALL_G,AVG_MATH_4_SCORE,AVG_MATH_8_SCORE,AVG_READING_4_SCORE,AVG_READING_8_SCORE,KINDERGARTEN_STUDENT_TEACHER_RATIO,ALL_STUDENTS,ALL_TEACHERS,KINDERGARTEN_ALL_RATIO_DIFF,,TOTAL_REVENUE,FEDERAL_REVENUE,STATE_REVENUE,LOCAL_REVENUE,TOTAL_EXPENDITURE,INSTRUCTION_EXPENDITURE,SUPPORT_SERVICES_EXPENDITURE,OTHER_EXPENDITURE,CAPITAL_OUTLAY_EXPENDITURE,MEDIAN_INCOME,ALL_STUDENT_TEACHER_RATIO,AVG_ALL_SCORES
2003_INDIANA,INDIANA,2003,0.395,2003_INDIANA,999713,8246076,582940,4569923,3093213,9777720,4785880,2848989,377679,859389,58064,937134,237.9682799,281.2209398,220.4064911,264.5320515,27.36902486,1003875,59968,10.62884676,,16.25814242,13.60873396,15.66790133,15.27761533,16.4285113,15.71407489,15.19536917,13.17469432,13.99687137,11.30219554,16.74017809,251.0319406
2003_IOWA,IOWA,2003,0.395,2003_IOWA,482210,4374803,304688,1974708,2095407,4517990,2157225,1208401,284796,459042,56639,442301,238.4766945,283.9533447,223.2711298,238.7007333,15.39051919,482210,34573,1.442930028,,15.62426646,12.959938,14.82882551,14.88815278,15.65647218,14.91722765,14.33770297,12.89242283,13.3697914,11.27734749,13.94758916,246.1004756
2003_KANSAS,KANSAS,2003,0.395,2003_KANSAS,470264,4068800,311152,2397661,1359987,3818740,2068389,1196089,167265,235653,60537,421943,241.7473658,284.1910881,220.1432297,271.7909687,24.84219269,470957,32643,10.41468909,,15.55175309,12.98093123,15.02289865,14.45588011,15.4883255,14.87517502,14.32746204,12.36022908,12.70301008,11.34390444,14.4275036,254.4681631
2003_KENTUCKY,KENTUCKY,2003,0.395,2003_KENTUCKY,660782,4872025,503734,2904331,1463960,4700494,2688476,1473773,282473,127011,50551,609861,228.7263433,274.2784722,219.0444173,257.3013198,28.85961657,660782,40662,12.60901405,,15.73191463,13.46269805,15.21460804,14.52955007,15.69607258,15.13737946,14.53623075,12.88423267,12.08492339,11.16363242,16.25060253,244.8376382
2003_LOUISIANA,LOUISIANA,2003,0.395,2003_LOUISIANA,723252,5478321,739078,2638985,2100258,5515322,3009591,1645457,337709,409705,45858,671080,226.2477291,266.3283593,204.7294875,257.714825,21.72127912,730464,50062,7.130092187,,15.84920364,13.84605316,15.11879935,14.89046517,15.85593501,15.25020916,14.64642313,13.06283427,13.25608708,11.06619936,14.59118693,238.7551002
2003_MAINE,MAINE,2003,0.395,2003_MAINE,203848,2162605,163516,874208,1124881,2154117,1255095,569146,79491,137716,50793,188045,237.6157104,281.9037733,223.8594938,251.2848019,14.7170418,204337,16837,2.580853644,,14.91971849,12.33756054,14.01396803,14.26608223,14.91578587,14.37561624,13.58478669,11.6162935,12.16584329,11.16840824,12.13618816,248.6659449
2003_MARYLAND,MARYLAND,2003,0.395,2003_MARYLAND,866743,8700979,571108,3317403,4812468,8732518,4738579,2630831,385935,674852,71598,808553,233.0798523,277.7161125,218.6737598,264.4397757,26.04834254,866743,55382,10.39807711,,16.31184052,13.58822803,15.34758722,15.71961502,16.31545873,15.70414227,15.11570474,13.19631866,13.7551431,11.51171683,15.65026543,248.4773751
2003_MASSACHUSETTS,MASSACHUSETTS,2003,0.395,2003_MASSACHUSETTS,967200,11591832,712487,4757632,6121713,11382398,6521028,3444135,356389,424368,69738,910755,241.6645274,286.5206945,227.6042594,266.4089689,28.11192214,982989,74214,14.86659107,,16.59870569,13.80941136,15.70815504,15.96024693,16.5804731,16.02343701,15.38507776,13.11667253,13.2912507,11.48539506,13.24533107,255.5496126
2003_MICHIGAN,MICHIGAN,2003,0.395,2003_MICHIGAN,1764327,18488359,1357006,11227903,5903450,19680370,8725075,6144707,844762,2453532,61618,1582187,235.6869747,276.4418616,218.7890567,264.8325323,35.84090909,1785160,89595,15.9161365,,17.06554626,14.45368578,16.56680699,15.9239419,17.12802667,16.31460604,15.96399603,13.97970463,15.04593359,11.36160373,19.92477259,248.9376063
2003_MINNESOTA,MINNESOTA,2003,0.395,2003_MINNESOTA,825674,8484497,463746,6064474,1956277,8938770,4318736,2130933,613899,1204124,72294,783524,241.9122956,290.680056,222.6089623,267.5048317,29.04448838,846891,52808,13.00731599,,16.28664559,13.37998668,15.95085278,14.81944815,16.33880297,15.61136774,14.90496489,13.66048011,14.3341573,11.52139083,16.0371724,255.6765364
