Key,Value
2007_FLORIDA,2671513
2006_FLORIDA,2675024
2005_FLORIDA,2639336
2004_FLORIDA,2587628
2003_FLORIDA,2539929
2002_FLORIDA,2500478
2001_FLORIDA,2434821
2000_FLORIDA,2381396
1999_FLORIDA,2337633
1998_FLORIDA,2294077
1997_FLORIDA,2242212
1996_FLORIDA,2176222
1995_FLORIDA,2111188
1994_FLORIDA,2040763
1993_FLORIDA,1981407
1992_FLORIDA,1932131
1991_FLORIDA,1861592
2018_GEORGIA,1768642
2017_GEORGIA,1764346
2016_GEORGIA,1757237
2015_GEORGIA,1744437
2014_GEORGIA,1723909
2013_GEORGIA,1703332
2012_GEORGIA,1685016
2011_GEORGIA,1677067
2010_GEORGIA,1667685
2009_GEORGIA,1655792
2008_GEORGIA,1649589
2007_GEORGIA,1629157
2006_GEORGIA,1598461
2005_GEORGIA,1553437
2004_GEORGIA,1522611
2003_GEORGIA,1496012
2002_GEORGIA,1470634
2001_GEORGIA,1444937
2000_GEORGIA,1422762
1999_GEORGIA,1401291
1998_GEORGIA,1375980
1997_GEORGIA,1346761
1996_GEORGIA,1311126
1995_GEORGIA,1270948
1994_GEORGIA,1235304
1993_GEORGIA,1207186
1992_GEORGIA,1177569
1991_GEORGIA,1151687
2018_HAWAII,180837
2017_HAWAII,181550
2016_HAWAII,181995
2015_HAWAII,182384
2014_HAWAII,186825
2013_HAWAII,184760
2012_HAWAII,182706
2011_HAWAII,179601
2010_HAWAII,180196
2009_HAWAII,179478
2008_HAWAII,179897
2007_HAWAII,180728
2006_HAWAII,182818
2005_HAWAII,183185
2004_HAWAII,183609
2003_HAWAII,183829
2002_HAWAII,184546
2001_HAWAII,184360
2000_HAWAII,185860
1999_HAWAII,188069
1998_HAWAII,189887
1997_HAWAII,187653
1996_HAWAII,187180
1995_HAWAII,183795
1994_HAWAII,180410
1993_HAWAII,177448
1992_HAWAII,174747
1991_HAWAII,171708
2018_IDAHO,301186
2017_IDAHO,297200
2016_IDAHO,292277
2015_IDAHO,290885
2014_IDAHO,296476
2013_IDAHO,284834
2012_IDAHO,279873
2011_IDAHO,275859
2010_IDAHO,276299
2009_IDAHO,275051
2008_IDAHO,272119
2007_IDAHO,267380
2006_IDAHO,261982
2005_IDAHO,256084
2004_IDAHO,252120
2003_IDAHO,248604
2002_IDAHO,246521
2001_IDAHO,245117
2000_IDAHO,245136
1999_IDAHO,244722
1998_IDAHO,244403
1997_IDAHO,245252
1996_IDAHO,243097
1995_IDAHO,240448
1994_IDAHO,236774
1993_IDAHO,231668
1992_IDAHO,225680
1991_IDAHO,220840
2018_ILLINOIS,2005153
2017_ILLINOIS,2026718
2016_ILLINOIS,2041779
2015_ILLINOIS,2050239
2014_ILLINOIS,2066990
2013_ILLINOIS,2072880
2012_ILLINOIS,2083097
2011_ILLINOIS,2091654
2010_ILLINOIS,2104175
2009_ILLINOIS,2119707
2008_ILLINOIS,2112805
2007_ILLINOIS,2118276
2006_ILLINOIS,2111706
2005_ILLINOIS,2097503
2004_ILLINOIS,2100961
2003_ILLINOIS,2084187
2002_ILLINOIS,2071391
2001_ILLINOIS,2048792
2000_ILLINOIS,2027600
1999_ILLINOIS,2011530
1998_ILLINOIS,1998289
1997_ILLINOIS,1973040
1996_ILLINOIS,1943623
1995_ILLINOIS,1916172
1994_ILLINOIS,1893078
1993_ILLINOIS,1873567
1992_ILLINOIS,1848166
1991_ILLINOIS,1821407
2018_INDIANA,1054187
2017_INDIANA,1049547
2016_INDIANA,1046757
2015_INDIANA,1046269
2014_INDIANA,1047385
2013_INDIANA,1041369
2012_INDIANA,1040765
2011_INDIANA,1047232
2010_INDIANA,1046661
2009_INDIANA,1046147
2008_INDIANA,1046764
2007_INDIANA,1045940
2006_INDIANA,1035074
2005_INDIANA,1021348
2004_INDIANA,1011130
2003_INDIANA,1003875
2002_INDIANA,996133
2001_INDIANA,989267
2000_INDIANA,988702
1999_INDIANA,989001
1998_INDIANA,986836
1997_INDIANA,982876
1996_INDIANA,977263
1995_INDIANA,969022
1994_INDIANA,965633
1993_INDIANA,960630
1992_INDIANA,956988
1991_INDIANA,954525
2018_IOWA,511850
2017_IOWA,509831
2016_IOWA,508014
2015_IOWA,505311
2014_IOWA,502964
2013_IOWA,499825
2012_IOWA,495870
2011_IOWA,495775
2010_IOWA,491842
2009_IOWA,487559
2008_IOWA,485115
2007_IOWA,483122
2006_IOWA,483482
2005_IOWA,478319
2004_IOWA,481226
2003_IOWA,482210
2002_IOWA,485932
2001_IOWA,495080
2000_IOWA,497301
1999_IOWA,498214
1998_IOWA,501054
1997_IOWA,502941
1996_IOWA,502343
1995_IOWA,500440
1994_IOWA,498519
1993_IOWA,494839
1992_IOWA,491363
1991_IOWA,483652
2018_KANSAS,497088
2017_KANSAS,494347
2016_KANSAS,495884
2015_KANSAS,497275
2014_KANSAS,496440
2013_KANSAS,489043
2012_KANSAS,486108
2011_KANSAS,483701
2010_KANSAS,474489
2009_KANSAS,471060
2008_KANSAS,468295
2007_KANSAS,469506
2006_KANSAS,467525
2005_KANSAS,469136
2004_KANSAS,470490
2003_KANSAS,470957
2002_KANSAS,470205
2001_KANSAS,470610
2000_KANSAS,472188
1999_KANSAS,472353
1998_KANSAS,468687
1997_KANSAS,466293
1996_KANSAS,463008
1995_KANSAS,460838
1994_KANSAS,457614
1993_KANSAS,451536
1992_KANSAS,445390
1991_KANSAS,437034
2018_KENTUCKY,680978
2017_KENTUCKY,684017
