Key,Value
2003_FLORIDA,183270
2002_FLORIDA,177225
2001_FLORIDA,175812
2000_FLORIDA,174953
1999_FLORIDA,174470
1998_FLORIDA,174874
1997_FLORIDA,176512
1996_FLORIDA,176767
1995_FLORIDA,172135
1994_FLORIDA,167140
1993_FLORIDA,161701
1992_FLORIDA,161688
1991_FLORIDA,163209
2018_GEORGIA,126400
2017_GEORGIA,127056
2016_GEORGIA,128788
2015_GEORGIA,133616
2014_GEORGIA,136658
2013_GEORGIA,136837
2012_GEORGIA,133372
2011_GEORGIA,132008
2010_GEORGIA,131325
2009_GEORGIA,129336
2008_GEORGIA,129791
2007_GEORGIA,130453
2006_GEORGIA,128397
2005_GEORGIA,122495
2004_GEORGIA,118849
2003_GEORGIA,114772
2002_GEORGIA,111173
2001_GEORGIA,110960
2000_GEORGIA,110359
1999_GEORGIA,112287
1998_GEORGIA,111081
1997_GEORGIA,112385
1996_GEORGIA,111462
1995_GEORGIA,108398
1994_GEORGIA,103365
1993_GEORGIA,100745
1992_GEORGIA,97590
1991_GEORGIA,97208
2018_HAWAII,14316
2017_HAWAII,14652
2016_HAWAII,14860
2015_HAWAII,11661
2014_HAWAII,17561
2013_HAWAII,17497
2012_HAWAII,16827
2011_HAWAII,16028
2010_HAWAII,15970
2009_HAWAII,15475
2008_HAWAII,15042
2007_HAWAII,13953
2006_HAWAII,14236
2005_HAWAII,13576
2004_HAWAII,13779
2003_HAWAII,13377
2002_HAWAII,13822
2001_HAWAII,14071
2000_HAWAII,14618
1999_HAWAII,15019
1998_HAWAII,15473
1997_HAWAII,16129
1996_HAWAII,16562
1995_HAWAII,15678
1994_HAWAII,15199
1993_HAWAII,14440
1992_HAWAII,14353
1991_HAWAII,13898
2018_IDAHO,21111
2017_IDAHO,21085
2016_IDAHO,20988
2015_IDAHO,21509
2014_IDAHO,23396
2013_IDAHO,22409
2012_IDAHO,21901
2011_IDAHO,21144
2010_IDAHO,21605
2009_IDAHO,21516
2008_IDAHO,21295
2007_IDAHO,20922
2006_IDAHO,19987
2005_IDAHO,19603
2004_IDAHO,18590
2003_IDAHO,17965
2002_IDAHO,17869
2001_IDAHO,17093
2000_IDAHO,17024
1999_IDAHO,17318
1998_IDAHO,17499
1997_IDAHO,17562
1996_IDAHO,17750
1995_IDAHO,17260
1994_IDAHO,17039
1993_IDAHO,16018
1992_IDAHO,15133
1991_IDAHO,15676
2018_ILLINOIS,132075
2017_ILLINOIS,134735
2016_ILLINOIS,135924
2015_ILLINOIS,139729
2014_ILLINOIS,145117
2013_ILLINOIS,147315
2012_ILLINOIS,145489
2011_ILLINOIS,146225
2010_ILLINOIS,148097
2009_ILLINOIS,146969
2008_ILLINOIS,145755
2007_ILLINOIS,147440
2006_ILLINOIS,147726
2005_ILLINOIS,145797
2004_ILLINOIS,146803
2003_ILLINOIS,148274
2002_ILLINOIS,148348
2001_ILLINOIS,147619
2000_ILLINOIS,149840
1999_ILLINOIS,150953
1998_ILLINOIS,153934
1997_ILLINOIS,152268
1996_ILLINOIS,151485
1995_ILLINOIS,146314
1994_ILLINOIS,144758
1993_ILLINOIS,139237
1992_ILLINOIS,139544
1991_ILLINOIS,139976
2018_INDIANA,77944
2017_INDIANA,76874
2016_INDIANA,77044
2015_INDIANA,78861
2014_INDIANA,80611
2013_INDIANA,80681
2012_INDIANA,78166
2011_INDIANA,76765
2010_INDIANA,78224
2009_INDIANA,76308
2008_INDIANA,75445
2007_INDIANA,79145
2006_INDIANA,75519
2005_INDIANA,73142
2004_INDIANA,72315
2003_INDIANA,71570
2002_INDIANA,72344
2001_INDIANA,70727
2000_INDIANA,70438
1999_INDIANA,71996
1998_INDIANA,72989
1997_INDIANA,74803
1996_INDIANA,73833
1995_INDIANA,71594
1994_INDIANA,70226
1993_INDIANA,66065
1992_INDIANA,66881
1991_INDIANA,68024
2018_IOWA,38293
2017_IOWA,38178
2016_IOWA,39218
2015_IOWA,39923
2014_IOWA,41240
2013_IOWA,41381
2012_IOWA,40187
2011_IOWA,39306
2010_IOWA,38956
2009_IOWA,38522
2008_IOWA,37819
2007_IOWA,37592
2006_IOWA,37435
2005_IOWA,36713
2004_IOWA,35295
2003_IOWA,34090
2002_IOWA,34249
2001_IOWA,33977
2000_IOWA,34596
1999_IOWA,35772
1998_IOWA,36486
1997_IOWA,37101
1996_IOWA,37629
1995_IOWA,37402
1994_IOWA,36348
1993_IOWA,36428
1992_IOWA,37841
1991_IOWA,38778
2018_KANSAS,35661
2017_KANSAS,35750
2016_KANSAS,36975
2015_KANSAS,37524
2014_KANSAS,38534
2013_KANSAS,38379
2012_KANSAS,37557
2011_KANSAS,37023
2010_KANSAS,36461
2009_KANSAS,36267
2008_KANSAS,35471
2007_KANSAS,35392
2006_KANSAS,34723
2005_KANSAS,34203
2004_KANSAS,33677
2003_KANSAS,29910
2002_KANSAS,30104
2001_KANSAS,30392
2000_KANSAS,30845
1999_KANSAS,31279
1998_KANSAS,32274
1997_KANSAS,32890
1996_KANSAS,33925
1995_KANSAS,33445
1994_KANSAS,34575
1993_KANSAS,34826
1992_KANSAS,35866
1991_KANSAS,36221
2018_KENTUCKY,44058
2017_KENTUCKY,48888
2016_KENTUCKY,49463
2015_KENTUCKY,51876
2014_KENTUCKY,52267
2013_KENTUCKY,53875
2012_KENTUCKY,52325
2011_KENTUCKY,51091
2010_KENTUCKY,51276
2009_KENTUCKY,50643
2008_KENTUCKY,49986
2007_KENTUCKY,50639
2006_KENTUCKY,50266
2005_KENTUCKY,49027
2004_KENTUCKY,48182
2003_KENTUCKY,46666
2002_KENTUCKY,45781
2001_KENTUCKY,48064
2000_KENTUCKY,46373
1999_KENTUCKY,46900
1998_KENTUCKY,48324
1997_KENTUCKY,46450
1996_KENTUCKY,45038
1995_KENTUCKY,44191
1994_KENTUCKY,43340
1993_KENTUCKY,46140
1992_KENTUCKY,46695
1991_KENTUCKY,46972
2018_LOUISIANA,53070
2017_LOUISIANA,53103
2016_LOUISIANA,53716
2015_LOUISIANA,56119
2014_LOUISIANA,57377
2013_LOUISIANA,58691
2012_LOUISIANA,56037
2011_LOUISIANA,54276
2010_LOUISIANA,53763
2009_LOUISIANA,52660
2008_LOUISIANA,53062
2007_LOUISIANA,53804
2006_LOUISIANA,52937
2005_LOUISIANA,57386
2004_LOUISIANA,56629
2003_LOUISIANA,55020
2002_LOUISIANA,53323
2001_LOUISIANA,55293
2000_LOUISIANA,56021
1999_LOUISIANA,58922
1998_LOUISIANA,60679
1997_LOUISIANA,61170
1996_LOUISIANA,61323
1995_LOUISIANA,60705
1994_LOUISIANA,61133
1993_LOUISIANA,61244
1992_LOUISIANA,64474
1991_LOUISIANA,65305
2018_MAINE,12586
2017_MAINE,12650
2016_MAINE,12835
2015_MAINE,13274
2014_MAINE,13451
2013_MAINE,13727
2012_MAINE,13644
2011_MAINE,13819
2010_MAINE,13704
2009_MAINE,13475
2008_MAINE,13710
2007_MAINE,14001
2006_MAINE,13766
2005_MAINE,13687
2004_MAINE,14021
2003_MAINE,13731
2002_MAINE,13709
2001_MAINE,13769
2000_MAINE,14274
1999_MAINE,14745
1998_MAINE,15543
1997_MAINE,15864
1996_MAINE,16826
1995_MAINE,16569
1994_MAINE,17536
1993_MAINE,17367
1992_MAINE,18625
1991_MAINE,19107
2018_MARYLAND,64045
2017_MARYLAND,64472
2016_MARYLAND,64930
2015_MARYLAND,66200
2014_MARYLAND,67548
2013_MARYLAND,66896
2012_MARYLAND,64727
2011_MARYLAND,62704
2010_MARYLAND,61428
2009_MARYLAND,60530
2008_MARYLAND,59455
2007_MARYLAND,56133
2006_MARYLAND,56858
2005_MARYLAND,54838
2004_MARYLAND,55485
2003_MARYLAND,56577
2002_MARYLAND,56384
2001_MARYLAND,56073
2000_MARYLAND,56942
1999_MARYLAND,57813
1998_MARYLAND,60385
1997_MARYLAND,61856
1996_MARYLAND,63232
1995_MARYLAND,62341
1994_MARYLAND,60378
1993_MARYLAND,59641
1992_MARYLAND,57658
1991_MARYLAND,56617
2018_MASSACHUSETTS,66122
2017_MASSACHUSETTS,66249
2016_MASSACHUSETTS,66142
2015_MASSACHUSETTS,67670
2014_MASSACHUSETTS,69853
2013_MASSACHUSETTS,69669
2012_MASSACHUSETTS,67956
2011_MASSACHUSETTS,67496
2010_MASSACHUSETTS,68369
2009_MASSACHUSETTS,68540
2008_MASSACHUSETTS,67900
2007_MASSACHUSETTS,68585
2006_MASSACHUSETTS,68242
2005_MASSACHUSETTS,68357
2004_MASSACHUSETTS,69704
2003_MASSACHUSETTS,69324
2002_MASSACHUSETTS,68565
2001_MASSACHUSETTS,70647
2000_MASSACHUSETTS,70029
1999_MASSACHUSETTS,71390
1998_MASSACHUSETTS,73125
1997_MASSACHUSETTS,76519
1996_MASSACHUSETTS,79163
1995_MASSACHUSETTS,77777
1994_MASSACHUSETTS,76494
1993_MASSACHUSETTS,75159
1992_MASSACHUSETTS,72974
1991_MASSACHUSETTS,73481
2018_MICHIGAN,116636
2017_MICHIGAN,115715
2016_MICHIGAN,113090
2015_MICHIGAN,105582
2014_MICHIGAN,106166
2013_MICHIGAN,107986
2012_MICHIGAN,107852
2011_MICHIGAN,112835
2010_MICHIGAN,126313
2009_MICHIGAN,124451
2008_MICHIGAN,125592
2007_MICHIGAN,129676
2006_MICHIGAN,131886
2005_MICHIGAN,131141
2004_MICHIGAN,130527
2003_MICHIGAN,130891
2002_MICHIGAN,125197
2001_MICHIGAN,126661
2000_MICHIGAN,128059
1999_MICHIGAN,131021
1998_MICHIGAN,133202
1997_MICHIGAN,137096
1996_MICHIGAN,141238
1995_MICHIGAN,136353
1994_MICHIGAN,132658
1993_MICHIGAN,135457
1992_MICHIGAN,137370
1991_MICHIGAN,141656
2018_MINNESOTA,64111
2017_MINNESOTA,63295
2016_MINNESOTA,63591
2015_MINNESOTA,64454
2014_MINNESOTA,65618
2013_MINNESOTA,65745
2012_MINNESOTA,64133
2011_MINNESOTA,62961
2010_MINNESOTA,63111
2009_MINNESOTA,61982
2008_MINNESOTA,60140
2007_MINNESOTA,60712
2006_MINNESOTA,59666
2005_MINNESOTA,58657
2004_MINNESOTA,59330
2003_MINNESOTA,58757
2002_MINNESOTA,58357
2001_MINNESOTA,58963
2000_MINNESOTA,58952
1999_MINNESOTA,61023
1998_MINNESOTA,62126
1997_MINNESOTA,62383
1996_MINNESOTA,63896
1995_MINNESOTA,62908
1994_MINNESOTA,62345
1993_MINNESOTA,61966
1992_MINNESOTA,63500
1991_MINNESOTA,64264
2018_MISSISSIPPI,35988
2017_MISSISSIPPI,36652
2016_MISSISSIPPI,37573
2015_MISSISSIPPI,40543
2014_MISSISSIPPI,41948
2013_MISSISSIPPI,43208
2012_MISSISSIPPI,41048
2011_MISSISSIPPI,38923
2010_MISSISSIPPI,39148
2009_MISSISSIPPI,38511
2008_MISSISSIPPI,38662
2007_MISSISSIPPI,39617
2006_MISSISSIPPI,40346
2005_MISSISSIPPI,39547
2004_MISSISSIPPI,38340
2003_MISSISSIPPI,36845
2002_MISSISSIPPI,36931
2001_MISSISSIPPI,37373
2000_MISSISSIPPI,37906
1999_MISSISSIPPI,39509
1998_MISSISSIPPI,39378
1997_MISSISSIPPI,39459
1996_MISSISSIPPI,39632
1995_MISSISSIPPI,38528
1994_MISSISSIPPI,37622
1993_MISSISSIPPI,36423
1992_MISSISSIPPI,36569
1991_MISSISSIPPI,37568
2018_MISSOURI,66010
2017_MISSOURI,66052
2016_MISSOURI,67126
2015_MISSOURI,68753
2014_MISSOURI,70845
2013_MISSOURI,71778
2012_MISSOURI,69864
2011_MISSOURI,69376
2010_MISSOURI,69016
2009_MISSOURI,67690
2008_MISSOURI,67314
2007_MISSOURI,67873
2006_MISSOURI,68221
2005_MISSOURI,64328
2004_MISSOURI,66509
2003_MISSOURI,64750
2002_MISSOURI,64104
2001_MISSOURI,63634
2000_MISSOURI,64608
1999_MISSOURI,67374
1998_MISSOURI,71575
1997_MISSOURI,69215
1996_MISSOURI,68513
1995_MISSOURI,66607
1994_MISSOURI,65679
1993_MISSOURI,65108
1992_MISSOURI,66072
1991_MISSOURI,66154
2018_MONTANA,11702
2017_MONTANA,11678
2016_MONTANA,11502
2015_MONTANA,11682
2014_MONTANA,12038
2013_MONTANA,11709
2012_MONTANA,11697
2011_MONTANA,11115
2010_MONTANA,10960
2009_MONTANA,10802
2008_MONTANA,10601
2007_MONTANA,10409
2006_MONTANA,10300
2005_MONTANA,10206
2004_MONTANA,10147
2003_MONTANA,9899
2002_MONTANA,10069
2001_MONTANA,10129
2000_MONTANA,10335
1999_MONTANA,10848
1998_MONTANA,11553
1997_MONTANA,11757
1996_MONTANA,12214
1995_MONTANA,11820
1994_MONTANA,12021
1993_MONTANA,11894
1992_MONTANA,11995
1991_MONTANA,12326
2018_NEBRASKA,23232
2017_NEBRASKA,22283
2016_NEBRASKA,23374
2015_NEBRASKA,23951
2014_NEBRASKA,24025
2013_NEBRASKA,22095
2012_NEBRASKA,23795
2011_NEBRASKA,23411
2010_NEBRASKA,23577
2009_NEBRASKA,22790
2008_NEBRASKA,22588
2007_NEBRASKA,22080
2006_NEBRASKA,21888
2005_NEBRASKA,21205
2004_NEBRASKA,20719
2003_NEBRASKA,20440
2002_NEBRASKA,20234
2001_NEBRASKA,20210
2000_NEBRASKA,20576
1999_NEBRASKA,21145
1998_NEBRASKA,21436
1997_NEBRASKA,21874
1996_NEBRASKA,22282
1995_NEBRASKA,21752
1994_NEBRASKA,21374
1993_NEBRASKA,21873
1992_NEBRASKA,22218
1991_NEBRASKA,22751
2018_NEVADA,35083
2017_NEVADA,34626
2016_NEVADA,34495
2015_NEVADA,33942
2014_NEVADA,35073
2013_NEVADA,35008
2012_NEVADA,33502
2011_NEVADA,32454
2010_NEVADA,32038
2009_NEVADA,32188
2008_NEVADA,31682
2007_NEVADA,31746
2006_NEVADA,29978
2005_NEVADA,29877
2004_NEVADA,28596
2003_NEVADA,27287
2002_NEVADA,26877
2001_NEVADA,26445
2000_NEVADA,25163
1999_NEVADA,23986
1998_NEVADA,23809
1997_NEVADA,22875
1996_NEVADA,22074
1995_NEVADA,20462
1994_NEVADA,19179
1993_NEVADA,17839
1992_NEVADA,17479
1991_NEVADA,16737
2018_NEW HAMPSHIRE,11419
2017_NEW HAMPSHIRE,11430
