PRIMARY_KEY,STATE,YEAR,ALTERNATIVE_KEY,ENROLL,,TOTAL_REVENUE,FEDERAL_REVENUE,STATE_REVENUE,LOCAL_REVENUE,TOTAL_EXPENDITURE,INSTRUCTION_EXPENDITURE,SUPPORT_SERVICES_EXPENDITURE,OTHER_EXPENDITURE,CAPITAL_OUTLAY_EXPENDITURE,GRADES_PK_G,GRADES_KG_G,GRADES_4_G,GRADES_8_G,GRADES_12_G,GRADES_1_8_G,GRADES_9_12_G,GRADES_ALL_G,AVG_MATH_4_SCORE,AVG_MATH_8_SCORE,AVG_READING_4_SCORE,AVG_READING_8_SCORE,KINDERGARTEN_STUDENTS,KINDERGARTEN_TEACHERS,KINDERGARTEN_STUDENT_TEACHER_RATIO,ALL_STUDENTS,ALL_TEACHERS,ALL_STUDENT_TEACHER_RATIO,KINDERGARTEN_ALL_RATIO_DIFF,MEDIAN_INCOME,
1992_MARYLAND,MARYLAND,1992,1992_MARYLAND,,,4658498,228336,1778834,2651328,4698374,2628891,1461083,,340298,16081,59641,60287,52815,40426,472622,189795,678498,217.3177079,264.8254931,209.6454967,,57658,1416,40.71892655,736238,43616,16.87999817,-23.83892839,65450,43616
1992_MASSACHUSETTS,MASSACHUSETTS,1992,1992_MASSACHUSETTS,,,5517659,273946,1439051,3804662,5245560,2751871,1523068,,167247,10722,75159,66822,60702,52425,536029,230299,777050,226.5979178,272.7832013,223.1600757,,72974,1622,44.99013564,846155,55963,15.11990065,-29.87023499,63966,55963
1992_MICHIGAN,MICHIGAN,1992,1992_MICHIGAN,,,9963137,537917,2539380,6885840,10170688,4681327,3321276,,825552,10541,135457,118963,114282,90655,968910,419351,1398802,219.8783523,267.3531943,,,137370,3270,42.00917431,1593561,82967,19.2071667,-22.80200761,56767,82967
1992_MINNESOTA,MINNESOTA,1992,1992_MINNESOTA,,,4684684,194092,2380754,2109838,4981125,2534882,1343203,,463724,6394,61966,62606,59810,53813,500938,224426,731758,228.4935963,282.3922046,218.3017092,,63500,1462,43.43365253,773571,44903,17.22760172,-26.20605081,54504,44903
1992_MISSISSIPPI,MISSISSIPPI,1992,1992_MISSISSIPPI,,,1684706,277706,901199,505801,1691990,956104,445364,,131795,818,36423,39839,38132,26328,321614,129554,451986,201.8282612,246.4580354,201.5293278,,36569,1328,27.53689759,504127,28111,17.93344242,-9.603455166,36188,28111
1992_MISSOURI,MISSOURI,1992,1992_MISSOURI,,,4043682,255194,1903124,1885364,4197600,2168135,1221397,,474552,18948,65108,67098,64546,50534,531337,235437,785722,222.2155998,271.1315447,216.8980792,,66072,2254,29.31322094,842965,52643,16.01286021,-13.30036073,48136,52643
1992_MONTANA,MONTANA,1992,1992_MONTANA,,,828983,69947,337455,421581,781009,412219,241644,,64263,554,11894,12839,12124,10019,102124,44449,147127,,,222.3014191,,11995,,,155779,9883,15.76231913,,46665,9883
1992_NEBRASKA,NEBRASKA,1992,1992_NEBRASKA,,,1542413,85423,492256,964734,1534046,909159,394690,,132183,3134,21873,22133,21379,18999,177432,79975,260541,225.3326475,277.6545234,220.0349631,,22218,1416,15.69067797,279552,19069,14.66002412,-1.030653843,52863,19069
1992_NEVADA,NEVADA,1992,1992_NEVADA,,,1097076,45018,724032,328026,1251651,572623,334685,,249189,1038,17839,18487,16250,12242,145687,57605,204330,,,,,17479,467,37.42826552,211810,11409,18.56516785,-18.86309767,56135,11409
1992_NEW_HAMPSHIRE,NEW_HAMPSHIRE,1992,1992_NEW HAMPSHIRE,,,1063391,31020,86296,946075,1066647,581123,310285,,63554,1005,7994,15611,13537,10752,123475,47999,172479,229.6645638,278.2163256,223.4661395,,7793,241,32.33609959,177138,11464,15.45167481,-16.88442478,69379,11464
1992_NEW_JERSEY,NEW_JERSEY,1992,1992_NEW JERSEY,,,10814689,416063,4504718,5893908,10452340,6042936,2911782,,474259,9123,87427,82909,77779,67353,671021,295337,975481,227.148047,271.9055612,219.3904683,,85469,2556,33.4385759,1109796,80515,13.78371732,-19.65485858,68612,80515
1992_NEW_MEXICO,NEW_MEXICO,1992,1992_NEW MEXICO,,,1330091,161520,990653,177918,1339829,683253,432392,,139206,2072,23723,24447,21690,16027,191623,80105,273800,213.2990899,259.6067177,204.5359107,,23276,757,30.74768824,308667,17498,17.6401303,-13.10755794,45495,17498
1992_NEW_YORK,NEW_YORK,1992,1992_NEW YORK,,,21630179,1172030,8697663,11760486,22815611,13288972,6132532,,1640971,31290,201674,197698,184815,142822,1585404,727840,2344534,218.4455353,266.4223001,211.7409208,,197128,6862,28.7274847,2643993,171914,15.3797422,-13.3477425,54627,171914
1992_NORTH_CAROLINA,NORTH_CAROLINA,1992,1992_NORTH CAROLINA,,,5236099,389145,3283378,1563576,5418687,2847638,1422278,,774194,6119,89809,85244,84291,63427,695047,303507,1004673,212.8844899,258.4053748,214.3580855,,88324,5080,17.38661417,1097598,65326,16.80185531,-0.584758863,48857,65326
1992_NORTH_DAKOTA,NORTH_DAKOTA,1992,1992_NORTH DAKOTA,,,559481,51476,242693,265312,553732,315009,152340,,34904,640,8847,9570,9102,8014,75082,34165,109887,228.6628153,283.2130747,225.2390833,,9273,273,33.96703297,118376,7733,15.3079012,-18.65913176,47428,7733
1992_OHIO,OHIO,1992,1992_OHIO,,,9285961,472604,3631703,5181654,9483822,5172782,2961942,,742377,9900,138911,137839,137075,116085,1126405,511330,1647635,218.7119349,268.1241978,,,142085,2927,48.54287667,1783767,103372,17.25580428,-31.28707239,55248,103372
1992_OKLAHOMA,OKLAHOMA,1992,1992_OKLAHOMA,,,2396705,211627,1470516,714562,2515272,1283577,779828,,194081,4859,45010,48793,44163,33346,387659,157824,550342,220.3198059,268.1319896,,,45509,1231,36.96913079,588263,37650,15.62451527,-21.34461552,44482,37650
1992_OREGON,OREGON,1992,1992_OREGON,,,2773959,163544,788309,1822106,2898210,1556770,967075,,230464,771,37519,41443,39610,31920,325128,144002,469901,,,,,37547,952,39.44012605,498614,26745,18.64326042,-20.79686563,56168,26745
1992_PENNSYLVANIA,PENNSYLVANIA,1992,1992_PENNSYLVANIA,,,11257252,658139,4227323,6371790,11539253,6075381,3329224,,964457,4416,129233,131248,126293,108244,1063552,486354,1554322,224.3057316,271.3784388,215.2683415,,130364,,,1692797,100475,16.84794227,,52571,100475
1992_RHODE_ISLAND,RHODE_ISLAND,1992,1992_RHODE ISLAND,,,883073,43545,329810,509718,863404,556787,265279,,14685,498,10883,11129,10204,8244,90758,37931,129187,215.4492482,265.9071091,219.9400977,,10680,292,36.57534247,142144,9709,14.64043671,-21.93490576,53538,9709
1992_SOUTH_CAROLINA,SOUTH_CAROLINA,1992,1992_SOUTH CAROLINA,,,2842626,249903,1350148,1242575,2922293,1544232,768292,,261644,7045,44501,51081,49562,34615,415759,173159,595963,212.4967138,260.772544,203.4161903,,43587,1161,37.54263566,627470,37115,16.90610265,-20.63653301,48517,37115
1992_SOUTH_DAKOTA,SOUTH_DAKOTA,1992,1992_SOUTH DAKOTA,,,551668,60671,147834,343163,593126,320561,169697,,65568,705,10266,10645,10498,8259,85823,36326,122854,,,,,10451,291,35.91408935,131576,8868,14.83716734,-21.076922,46197,8868
