Key,Value
2007_DELAWARE,8038.0
2006_DELAWARE,7998.0
2005_DELAWARE,7856.0
2004_DELAWARE,7749.0
2003_DELAWARE,7698.0
2002_DELAWARE,7571.0
2001_DELAWARE,7469.0
2000_DELAWARE,7318.0
1999_DELAWARE,7074.0
1998_DELAWARE,6850.0
1997_DELAWARE,6642.0
1996_DELAWARE,6463.0
1995_DELAWARE,6416.0
1994_DELAWARE,6380.0
1993_DELAWARE,6252.0
1992_DELAWARE,6095.0
1991_DELAWARE,5961.0
2018_FLORIDA,186128.02
2017_FLORIDA,186339.1
2016_FLORIDA,182586.3
2015_FLORIDA,180442.27
2014_FLORIDA,177853.2
2013_FLORIDA,176537.21
2012_FLORIDA,175006.3
2011_FLORIDA,175609.29
2010_FLORIDA,183827.0
2009_FLORIDA,186361.0
2008_FLORIDA,190615.0
2007_FLORIDA,162851.0
2006_FLORIDA,158962.0
2005_FLORIDA,154864.0
2004_FLORIDA,144955.0
2003_FLORIDA,138226.0
2002_FLORIDA,134684.0
2001_FLORIDA,132030.0
2000_FLORIDA,130336.0
1999_FLORIDA,126796.0
1998_FLORIDA,124473.0
1997_FLORIDA,120471.0
1996_FLORIDA,114938.0
1995_FLORIDA,110674.0
1994_FLORIDA,110653.0
1993_FLORIDA,107590.0
1992_FLORIDA,109939.0
1991_FLORIDA,108088.0
2018_GEORGIA,116021.7
2017_GEORGIA,114762.5
2016_GEORGIA,113031.0
2015_GEORGIA,111469.8
2014_GEORGIA,109441.0
2013_GEORGIA,109364.9
2012_GEORGIA,111133.3
2011_GEORGIA,112459.6
2010_GEORGIA,115917.9
2009_GEORGIA,118839.0
2008_GEORGIA,116857.0
2007_GEORGIA,113597.0
2006_GEORGIA,108535.0
2005_GEORGIA,104987.0
2004_GEORGIA,97150.0
2003_GEORGIA,96044.0
2002_GEORGIA,92732.0
2001_GEORGIA,91043.0
2000_GEORGIA,90638.0
1999_GEORGIA,88658.0
1998_GEORGIA,86244.0
1997_GEORGIA,81795.0
1996_GEORGIA,79480.0
1995_GEORGIA,77914.0
1994_GEORGIA,74172.0
1993_GEORGIA,66942.0
1992_GEORGIA,63816.0
1991_GEORGIA,63058.0
2018_HAWAII,12033.47
2017_HAWAII,11781.66
2016_HAWAII,11746.9
2015_HAWAII,11662.71
2014_HAWAII,11780.65
2013_HAWAII,11608.2
2012_HAWAII,11458.37
2011_HAWAII,11395.95
2010_HAWAII,11471.65
2009_HAWAII,11295.0
2008_HAWAII,11397.0
2007_HAWAII,11271.0
2006_HAWAII,11226.0
2005_HAWAII,11146.0
2004_HAWAII,11129.0
2003_HAWAII,10973.0
2002_HAWAII,11007.0
2001_HAWAII,10927.0
2000_HAWAII,10866.0
1999_HAWAII,10639.0
1998_HAWAII,10653.0
1997_HAWAII,10576.0
1996_HAWAII,10500.0
1995_HAWAII,10240.0
1994_HAWAII,10111.0
1993_HAWAII,10083.0
1992_HAWAII,9451.0
1991_HAWAII,9083.0
2018_IDAHO,16591.97
2017_IDAHO,16203.9
2016_IDAHO,15656.42
2015_IDAHO,15609.12
2014_IDAHO,15001.72
2013_IDAHO,14563.19
2012_IDAHO,15990.44
2011_IDAHO,15672.54
2010_IDAHO,15200.87
2009_IDAHO,15148.0
2008_IDAHO,15013.0
2007_IDAHO,14770.0
2006_IDAHO,14521.0
2005_IDAHO,14269.0
2004_IDAHO,14049.0
2003_IDAHO,13896.0
2002_IDAHO,13854.0
2001_IDAHO,13714.0
2000_IDAHO,13641.0
1999_IDAHO,13426.0
1998_IDAHO,13207.0
1997_IDAHO,13078.0
1996_IDAHO,12784.0
1995_IDAHO,12582.0
1994_IDAHO,12007.0
1993_IDAHO,11827.0
1992_IDAHO,11626.0
1991_IDAHO,11254.0
2018_ILLINOIS,128203.64
2017_ILLINOIS,128893.43
2016_ILLINOIS,129948.2
2015_ILLINOIS,132455.94
2014_ILLINOIS,136355.18
2013_ILLINOIS,135700.7
2012_ILLINOIS,131777.31
2011_ILLINOIS,132982.73
2010_ILLINOIS,138482.93
2009_ILLINOIS,135704.0
2008_ILLINOIS,136445.0
2007_ILLINOIS,140988.0
2006_ILLINOIS,133857.0
2005_ILLINOIS,131047.0
2004_ILLINOIS,127669.0
2003_ILLINOIS,131046.0
2002_ILLINOIS,129600.0
2001_ILLINOIS,127620.0
2000_ILLINOIS,124815.0
1999_ILLINOIS,121758.0
1998_ILLINOIS,118734.0
1997_ILLINOIS,116274.0
1996_ILLINOIS,113538.0
1995_ILLINOIS,110830.0
1994_ILLINOIS,110874.0
1993_ILLINOIS,111461.0
1992_ILLINOIS,110153.0
1991_ILLINOIS,108775.0
2018_INDIANA,61018.37
2017_INDIANA,60161.63
2016_INDIANA,57674.85
2015_INDIANA,56547.39
2014_INDIANA,59823.14
2013_INDIANA,59863.28
2012_INDIANA,62338.58
2011_INDIANA,58121.0
2010_INDIANA,62258.0
2009_INDIANA,62668.0
2008_INDIANA,62334.0
2007_INDIANA,61346.0
2006_INDIANA,60592.0
2005_INDIANA,60563.0
2004_INDIANA,59924.0
2003_INDIANA,59968.0
2002_INDIANA,59658.0
2001_INDIANA,59226.0
2000_INDIANA,58864.0
1999_INDIANA,58084.0
1998_INDIANA,57371.0
1997_INDIANA,56708.0
1996_INDIANA,55821.0
1995_INDIANA,55496.0
1994_INDIANA,55107.0
1993_INDIANA,54552.0
1992_INDIANA,54509.0
1991_INDIANA,54806.0
2018_IOWA,35552.6
2017_IOWA,35808.04
2016_IOWA,35687.49
2015_IOWA,35684.09
2014_IOWA,35396.65
2013_IOWA,35080.24
2012_IOWA,34658.15
2011_IOWA,34642.08
2010_IOWA,35842.15
2009_IOWA,35961.0
2008_IOWA,36089.0
2007_IOWA,35653.0
2006_IOWA,35181.0
2005_IOWA,34697.0
2004_IOWA,34791.0
2003_IOWA,34573.0
2002_IOWA,34906.0
2001_IOWA,34636.0
2000_IOWA,33480.0
1999_IOWA,32822.0
1998_IOWA,32700.0
1997_IOWA,32593.0
1996_IOWA,32318.0
1995_IOWA,31726.0
1994_IOWA,31616.0
1993_IOWA,31403.0
1992_IOWA,31395.0
1991_IOWA,31045.0
2018_KANSAS,36387.27
2017_KANSAS,36193.25
2016_KANSAS,40035.33
2015_KANSAS,37659.08
2014_KANSAS,38152.9
2013_KANSAS,41243.2
2012_KANSAS,37407.3
2011_KANSAS,34643.8
2010_KANSAS,34700.1
2009_KANSAS,35883.0
2008_KANSAS,35359.0
2007_KANSAS,35297.0
2006_KANSAS,33608.0
2005_KANSAS,32932.0
2004_KANSAS,32589.0
2003_KANSAS,32643.0
2002_KANSAS,33084.0
2001_KANSAS,32742.0
2000_KANSAS,32969.0
1999_KANSAS,32003.0
1998_KANSAS,31527.0
1997_KANSAS,30875.0
1996_KANSAS,30729.0
1995_KANSAS,30579.0
1994_KANSAS,30283.0
