year,state,stateyear,foreign_born,soc_capital_ma,avg_att_rate,avg_daily_att_total,dropout_rate,enroll_students_public,fouryear_tuition,twoyear_tuition,grad_rate,foodinsecure,marginallyfoodinsecure,verylowfoodsecure,foodstamp_rep,lunchprogram_total,povrate,wic_total,gub_election,constitution_adopted,health_rank,quality_of_life_rank,lowinc_children,pop_govhealthins,pop_nohealthins,anti_education,pro_education,neutral_education,ideo_cit,ideo_state,party_state,policy_mood,charterschoolslaw,comp_years,evol_wkns_allowed,homeschool_records_extent,innovatescore,kind_att_rqd,mand_lic_teach,pollib_lower,pollib_median,pollib_upper,prvt_curric_control_extent,stnd_testing_rqd,taxcredit_parents,teacher_qual_rqd
2005,Wyoming,2005_Wyoming,2.299999952,0.6518687,92.1193,77757,4.8,84733,4223.022329,2179.862794,76.1,12.82544,25.67267,4.2595501,25481,51187,10.6,12699,0,0,23,19,7,141.219,73.3746,0.08404468,0.690042528,0.225912792,35.46685,-0.4375,-0.266666681,36.56499863,,,,,0.068135,,,-1.26486,-1.03884,-0.652932,,,,
2006,Wyoming,2006_Wyoming,2.700000048,0.48741007,92.8363,79090,5.7,84409,4156.63,2164.049189,75.8,11.24621,18.08695,2.7218299,24236,52305,10,12513,1,0,25,19,3,137.384,73.4252,0.061702118,0.695987367,0.242310515,28.56578,-0.37931034,-0.413793117,36.9640007,1,9,0,0,0.068135,0,0.5,-1.30822,-1.0358,-0.659704,1,0,0,0
2007,Wyoming,2007_Wyoming,3.099999905,0.37308255,92.3237,79788,5.1,85193,4105.902247,2220.468238,76,9.5369101,18.78549,3.5748899,22608,53564,10.9,12335,0,0,24,24,6,138.442,68.4192,0.069020772,0.686131733,0.244847495,30.06818,-0.155555561,-0.255319148,39.22000122,,,,,0.094579,,,-1.30226,-1.01938,-0.650739,,,,
2008,Wyoming,2008_Wyoming,3.099999905,0.2031724,92.9384,81006,5,86422,3961.479092,2207.750568,,9.1933603,19.37426,2.7307501,22608,55081,10.1,12617,0,0,19,11,5,150.66,70.5484,0.076339426,0.676276099,0.247384474,29.64659,-0.078431375,-0.119999997,38.45800018,1,9,0,0,0.094579,0,0.5,-1.31548,-1.0538,-0.690821,1,0,0,0
2009,Wyoming,2009_Wyoming,3.099999905,0.33668303,91.5626,80717,1.1,87161,4163.671039,2418.192198,,12.45456,25.468321,4.3674798,26762,56424,9.2,13338,0,0,19,10,7,150.485,83.1496,0.08081418,0.686054928,0.233130893,27.20553,-0.384615391,-0.574999988,35.25500107,,,,,0.005797,,,-1.31278,-1.02143,-0.632669,,,,
2010,Wyoming,2010_Wyoming,2.799999952,0.31401068,,,,88155,4334.738931,2453.813253,80,13.55103,24.57263,4.7009301,34799,56540,9.6,13687,1,0,19,4,7,149.258,95.1048,0.085288933,0.695833756,0.218877311,21.45767,-0.388888896,-0.140350878,32.7159996,1,9,0,0,0.005797,0,0.5,-1.37023,-1.18007,-0.811198,1,0,0,0
2011,Wyoming,2011_Wyoming,3.200000048,0.47733486,,,,,4393.856619,2478.667722,79,11.83551,26.565241,4.3660302,36031,57420,10.7,12997,0,0,21,12,7,154.704,100.285,0.105843019,0.691083205,0.203073776,23.31248,-0.529411793,-0.200000003,,,,,,,,,-1.3952,-1.1336,-0.752297,,,,
2012,Wyoming,2012_Wyoming,3.200000048,,,,,,4493.539467,2562.935086,77,14.98277,22.854639,5.0675302,34346.9167,56578,9.6,12602,0,0,23,11,6,,,0.126397104,0.686332654,0.187270241,24.24128,,,,1,9,0,0,,0,0.5,-1.40026,-1.12817,-0.773741,1,0,0,0
2013,Wyoming,2013_Wyoming,,,,,,,4536.932944,2683.898304,78.6,16.398529,27.08008,5.41117,38046.1667,53764,11.8,11980,0,0,,,3,,,,,,23.99437,,,,,,,,,,,-1.37403,-1.03599,-0.610314,,,,
2014,Wyoming,2014_Wyoming,,,,,,,4692.742513,2733.492778,79.3,11.66071,16.87504,3.3508899,35871,52885,,11629,1,0,,,5,,,,,,,,,,1,9,0,0,,0,0.5,-1.42533,-1.10964,-0.721588,1,0,0,0
2015,Wyoming,2015_Wyoming,,,,,,,4931.84475,2803.975185,80,14.68406,26.446899,5.8926702,,51854,,10995,0,0,,,6,,,,,,,,,,1,,0,,,,,,,,,,0,
